################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: ulisses.maffazioli
#     Report Created on: Sun Jul 12 21:06:28 2026
#     Working Directory: /home/mic63/ulisses.maffazioli/dft-labs/proj/santiago_cpu/0_synopsys_saed32_flow/_dft/advisor_flow_netlist
#     Report Location  : ./out_data/santiago/top_santiago_cpu/dft/dft_best_practice/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vW-2024.09-SP2-8
#     Policy Name      : dft(SpyGlass_vW-2024.09-SP2-08)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Shift-CP-Root, Capture-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim
30, top_santiago_cpu.uu_mem.mem_reg_0__4_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
31, top_santiago_cpu.uu_mem.mem_reg_0__3_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
32, top_santiago_cpu.uu_mem.mem_reg_0__2_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
33, top_santiago_cpu.uu_mem.mem_reg_0__1_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
34, top_santiago_cpu.uu_mem.mem_reg_0__0_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
35, top_santiago_cpu.uu_mem.mem_reg_1__15_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
36, top_santiago_cpu.uu_mem.mem_reg_1__14_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
37, top_santiago_cpu.uu_mem.mem_reg_1__13_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
38, top_santiago_cpu.uu_mem.mem_reg_1__12_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
39, top_santiago_cpu.uu_mem.mem_reg_1__11_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
40, top_santiago_cpu.uu_mem.mem_reg_1__10_, 1, Scannable    - Inferred, clk  (rising-edge), clk  (rising-edge), D->01_cnt(yy-) SE->01_cnt(yy-) SI->01_cnt(yy-), pin absent, pin absent, observable, used, Q->X D->X SE->X SI->X, Q->X D->X SE->X SI->X
